cityName,year,amount
Kota Bitung,2024,3735000
Kota Tomohon,2024,3545000
Kota Kotamobagu,2024,3545000
Kota Manado,2024,3775140
Kabupaten Morowali,2024,3489319
Kabupaten Morowali Utara,2024,3685804
Kabupaten Kepulauan Selayar,2024,3434297
Kabupaten Bulukumba,2024,3434297
Kabupaten Bantaeng,2024,3434297
Kabupaten Jeneponto,2024,3442844
Kabupaten Takalar,2024,3442844
Kabupaten Gowa,2024,3442844
Kabupaten Sinjai,2024,3434297
Kabupaten Maros,2024,3442844
Kabupaten Barru,2024,3442844
Kabupaten Bone,2024,3434297
Kabupaten Soppeng,2024,3434297
Kabupaten Wajo,2024,3434297
Kabupaten Sidenreng Rappang,2024,3442844
Kabupaten Pinrang,2024,3442844
Kabupaten Enrekang,2024,3442844
Kabupaten Luwu,2024,3442844
Kabupaten Tana Toraja,2024,3442844
Kabupaten Luwu Utara,2024,3442844
Kabupaten Toraja Utara,2024,3442844
Kota Parepare,2024,3442844
Kota Palopo,2024,3442844
Kabupaten Pangkajene dan Kepulauan,2024,3518528
Kabupaten Luwu Timur,2024,3615197
Kota Makassar,2024,3643321
Kabupaten Fakfak,2024,3522618
Kabupaten Kaimana,2024,3731810
Kabupaten Teluk Wondama,2024,3455106
Kabupaten Teluk Bintuni,2024,3924350
Kabupaten Manokwari,2024,3455106
Kabupaten Manokwari Selatan,2024,3455106
Kabupaten Pegunungan Arfak,2024,3455106
Kabupaten Jayapura,2024,4024272
Kabupaten Kepulauan Yapen,2024,3987000
Kabupaten Biak Numfor,2024,4024270
Kabupaten Sarmi,2024,3987000
Kabupaten Keerom,2024,3987000
Kabupaten Waropen,2024,3987000
Kabupaten Supiori,2024,4024270
Kabupaten Mamberamo Raya,2024,3987000
Kota Jayapura,2024,4024270
Kabupaten Nabire,2024,4062590
Kabupaten Paniai,2024,4062590
Kabupaten Puncak Jaya,2024,4062590
Kabupaten Puncak,2024,4062590
Kabupaten Dogiyai,2024,4062590
Kabupaten Intan Jaya,2024,4062590
Kabupaten Deiyai,2024,4062590
Kabupaten Mimika,2024,4707018
Kabupaten Jayawijaya,2024,3864696
Kabupaten Yahukimo,2024,3864696
Kabupaten Pegunungan Bintang,2024,3864696
Kabupaten Tolikara,2024,3864696
Kabupaten Nduga,2024,3864696
Kabupaten Lanny Jaya,2024,3864696
Kabupaten Mamberamo Tengah,2024,3864696
Kabupaten Yalimo,2024,3864696
Kabupaten Merauke,2024,4024270
Kabupaten Asmat,2024,4024270
Kabupaten Boven Digoel,2024,4024270
Kabupaten Mappi,2024,4024270
Kabupaten Sorong Selatan,2024,3455106
Kabupaten Sorong,2024,3455106
Kabupaten Raja Ampat,2024,3455106
Kabupaten Tambrauw,2024,3455106
Kabupaten Maybrat,2024,3455106
Kota Sorong,2024,3490106
Kabupaten Pandeglang,2024,3010988
Kabupaten Lebak,2024,3030440
Kabupaten Jembrana,2024,2802433
Kabupaten Tabanan,2024,2923428
Kabupaten Gianyar,2024,3023950
Kabupaten Klungkung,2024,2812929
Kabupaten Karangasem,2024,2812930
Kabupaten Buleleng,2024,2812731
Kota Denpasar,2024,3096822
Kota Mataram,2024,2756237
Kabupaten Lombok Barat,2024,2493432
Kabupaten Lombok Tengah,2024,2493432
Kabupaten Lombok Timur,2024,2493432
Kabupaten Poso,2024,2971042
Kabupaten Donggala,2024,2971042
Kabupaten Tolitoli,2024,2971042
Kabupaten Banggai,2024,3109914
Kabupaten Buol,2024,2971042
Kabupaten Banggai Kepulauan,2024,2971042
Kabupaten Tojo Una-Una,2024,2971042
Kabupaten Sigi,2024,2971042
Kabupaten Banggai Laut,2024,2971042
Kota Palu,2024,3179895
Kota Kendari,2024,3170675
Kabupaten Konawe,2024,3010523
Kabupaten Kolaka,2024,3102508
Kabupaten Konawe Selatan,2024,2969839
Kabupaten Kolaka Utara,2024,3178675
Kabupaten Muna,2024,2871936
Kabupaten Gorontalo,2024,3025100
Kabupaten Bone Bolango,2024,3025100
Kabupaten Pasangkayu,2024,3024321
Kabupaten Mamuju,2024,2915000
Kabupaten Mamuju Tengah,2024,2946000
Kota Ambon,2024,2945397
Kabupaten Maluku Tengah,2024,2890390
Kabupaten Seram Bagian Barat,2024,2890390
Kota Ternate,2024,3078660
Kabupaten Halmahera Barat,2024,2976720
Kabupaten Halmahera Tengah,2024,3197680
Kabupaten Halmahera Utara,2024,3056262
Kabupaten Halmahera Selatan,2024,2976720
Kabupaten Halmahera Timur,2024,2976720
Kabupaten Kepulauan Sula,2024,2976720
Kabupaten Pulau Taliabu,2024,2976720
Kota Tidore Kepulauan,2024,2976720
Kabupaten Pulau Morotai,2024,2976720
