cityName,year,amount
Kabupaten Simeulue,2024,3460672
Kabupaten Aceh Singkil,2024,3460672
Kabupaten Aceh Selatan,2024,3460672
Kabupaten Aceh Tenggara,2024,3460672
Kabupaten Aceh Timur,2024,3460672
Kabupaten Aceh Tengah,2024,3460672
Kabupaten Aceh Barat,2024,3460672
Kabupaten Aceh Besar,2024,3460672
Kabupaten Pidie,2024,3460672
Kabupaten Bireuen,2024,3460672
Kabupaten Aceh Utara,2024,3460672
Kabupaten Aceh Barat Daya,2024,3460672
Kabupaten Gayo Lues,2024,3460672
Kabupaten Nagan Raya,2024,3460672
Kabupaten Aceh Jaya,2024,3460672
Kabupaten Bener Meriah,2024,3460672
Kabupaten Pidie Jaya,2024,3460672
Kota Sabang,2024,3460672
Kota Langsa,2024,3460672
Kota Lhokseumawe,2024,3460672
Kota Subulussalam,2024,3460672
Kabupaten Aceh Tamiang,2024,3491030
Kota Banda Aceh,2024,3660897
Kabupaten Karo,2024,3358950
Kabupaten Deli Serdang,2024,3505076
Kabupaten Batu Bara,2024,3451643
Kota Medan,2024,3769081
Kabupaten Indragiri Hilir,2024,3294625
Kabupaten Kepulauan Meranti,2024,3294625
Kabupaten Kuantan Singingi,2024,3467415
Kabupaten Indragiri Hulu,2024,3477188
Kabupaten Pelalawan,2024,3395358
Kabupaten Siak,2024,3465930
Kabupaten Kampar,2024,3412764
Kabupaten Rokan Hulu,2024,3360921
Kabupaten Bengkalis,2024,3693539
Kabupaten Rokan Hilir,2024,3332223
Kota Pekanbaru,2024,3451584
Kota Dumai,2024,3867295
Kota Jambi,2024,3387063
Kabupaten Ogan Komering Ulu,2024,3456874
Kabupaten Ogan Komering Ilir,2024,3456874
Kabupaten Lahat,2024,3456874
Kabupaten Ogan Komering Ulu Selatan,2024,3456874
Kabupaten Ogan Ilir,2024,3456874
Kabupaten Empat Lawang,2024,3456874
Kabupaten Penukal Abab Lematang Ilir,2024,3456874
Kota Prabumulih,2024,3456874
Kota Pagar Alam,2024,3456874
Kota Lubuklinggau,2024,3456874
Kabupaten Muara Enim,2024,3627621
Kabupaten Musi Rawas,2024,3564932
Kabupaten Musi Banyuasin,2024,3547744
Kabupaten Banyuasin,2024,3488289
Kabupaten Ogan Komering Ulu Timur,2024,3520841
Kabupaten Musi Rawas Utara,2024,3564933
Kota Palembang,2024,3677591
Kabupaten Bangka,2024,3640000
Kabupaten Belitung,2024,3640000
Kabupaten Bangka Barat,2024,3640000
Kabupaten Bangka Tengah,2024,3640000
Kabupaten Bangka Selatan,2024,3640000
Kabupaten Belitung Timur,2024,3640000
Kota Pangkal Pinang,2024,3640000
Kabupaten Lingga,2024,3402492
Kota Tanjung Pinang,2024,3402492
Kabupaten Karimun,2024,3715000
Kabupaten Bintan,2024,3950950
Kabupaten Natuna,2024,3406574
Kabupaten Kepulauan Anambas,2024,3835604
Kota Batam,2024,4685070
Kabupaten Administrasi Kepulauan Seribu,2024,5067381
Kota Administrasi Jakarta Selatan,2024,5067381
Kota Administrasi Jakarta Timur,2024,5067381
Kota Administrasi Jakarta Pusat,2024,5067381
Kota Administrasi Jakarta Barat,2024,5067381
Kota Administrasi Jakarta Utara,2024,5067381
Kabupaten Bogor,2024,4813987
Kabupaten Sukabumi,2024,3384491
Kabupaten Bandung,2024,3527967
Kabupaten Sumedang,2024,3504307
Kabupaten Subang,2024,3294485
Kabupaten Purwakarta,2024,4499768
Kabupaten Karawang,2024,5257833
Kabupaten Bekasi,2024,5219262
Kabupaten Bandung Barat,2024,3508676
Kota Bogor,2024,4813987
Kota Bandung,2024,4209308
Kota Bekasi,2024,5343430
Kota Depok,2024,4878612
Kota Cimahi,2024,3627879
Kabupaten Malang,2024,3336647
Kabupaten Pasuruan,2024,4635133
Kabupaten Sidoarjo,2024,4573249
Kabupaten Mojokerto,2024,4559648
Kabupaten Gresik,2024,4642031
Kota Malang,2024,3293608
Kota Surabaya,2024,4725902
Kabupaten Tangerang,2024,4606333
Kabupaten Serang,2024,4560895
Kota Tangerang,2024,4760289
Kota Cilegon,2024,4811453
Kota Serang,2024,4148602
Kota Tangerang Selatan,2024,4805808
Kabupaten Badung,2024,3335619
Kabupaten Kotawaringin Barat,2024,3474797
Kabupaten Kotawaringin Timur,2024,3341890
Kabupaten Barito Selatan,2024,3595397
Kabupaten Barito Utara,2024,3662311
Kabupaten Sukamara,2024,3489521
Kabupaten Lamandau,2024,3550532
Kabupaten Seruyan,2024,3634450
Kabupaten Katingan,2024,3343905
Kabupaten Gunung Mas,2024,3328174
Kabupaten Murung Raya,2024,3562377
Kota Palangka Raya,2024,3310003
Kabupaten Kota Baru,2024,3420661
Kabupaten Tabalong,2024,3372954
Kabupaten Tanah Bumbu,2024,3286538
Kota Banjarmasin,2024,3379513
Kabupaten Mahakam Ulu,2024,3711017
Kabupaten Paser,2024,3370457
Kabupaten Kutai Barat,2024,3711020
Kabupaten Kutai Kartanegara,2024,3536506
Kabupaten Kutai Timur,2024,3510825
Kabupaten Berau,2024,3832972
Kabupaten Penajam Paser Utara,2024,3715911
Kota Balikpapan,2024,3490930
Kota Samarinda,2024,3497120
Kota Bontang,2024,3548868
Kabupaten Malinau,2024,3607099
Kabupaten Bulungan,2024,3480627
Kabupaten Tana Tidung,2024,3476906
Kabupaten Nunukan,2024,3429959
Kota Tarakan,2024,4188173
Kabupaten Bolaang Mongondow,2024,3545000
Kabupaten Minahasa,2024,3545000
Kabupaten Kepulauan Sangihe,2024,3545000
Kabupaten Kepulauan Talaud,2024,3545000
Kabupaten Minahasa Selatan,2024,3545000
Kabupaten Minahasa Utara,2024,3640000
Kabupaten Bolaang Mongondow Utara,2024,3545000
Kabupaten Siau Tagulandang Biaro,2024,3545000
Kabupaten Minahasa Tenggara,2024,3545000
Kabupaten Bolaang Mongondow Selatan,2024,3545000
Kabupaten Bolaang Mongondow Timur,2024,3545000
