cityName,year,amount
Kota Lubuklinggau,2025,3681571
Kabupaten Muara Enim,2025,3863417
Kabupaten Musi Rawas,2025,3796653
Kabupaten Musi Banyuasin,2025,3778348
Kabupaten Banyuasin,2025,3715028
Kabupaten Ogan Komering Ulu Timur,2025,3749696
Kabupaten Musi Rawas Utara,2025,3796654
Kota Palembang,2025,3916635
Kabupaten Bangka,2025,3876600
Kabupaten Belitung,2025,3876600
Kabupaten Bangka Barat,2025,3876600
Kabupaten Bangka Tengah,2025,3876600
Kabupaten Bangka Selatan,2025,3876600
Kabupaten Belitung Timur,2025,3876600
Kota Pangkal Pinang,2025,3876600
Kabupaten Lingga,2025,3623654
Kota Tanjung Pinang,2025,3623654
Kabupaten Karimun,2025,3956475
Kabupaten Bintan,2025,4207762
Kabupaten Natuna,2025,3628002
Kabupaten Kepulauan Anambas,2025,4084919
Kota Batam,2025,4989600
Kabupaten Administrasi Kepulauan Seribu,2025,5396761
Kota Administrasi Jakarta Selatan,2025,5396761
Kota Administrasi Jakarta Timur,2025,5396761
Kota Administrasi Jakarta Pusat,2025,5396761
Kota Administrasi Jakarta Barat,2025,5396761
Kota Administrasi Jakarta Utara,2025,5396761
Kabupaten Bogor,2025,5126897
Kabupaten Sukabumi,2025,3604483
Kabupaten Bandung,2025,3757285
Kabupaten Sumedang,2025,3732088
Kabupaten Subang,2025,3508627
Kabupaten Purwakarta,2025,4792253
Kabupaten Karawang,2025,5599593
Kabupaten Bekasi,2025,5558515
Kabupaten Bandung Barat,2025,3736741
Kota Bogor,2025,5126897
Kota Bandung,2025,4482914
Kota Bekasi,2025,5690753
Kota Depok,2025,5195722
Kota Cimahi,2025,3863692
Kabupaten Malang,2025,3553530
Kabupaten Pasuruan,2025,4866890
Kabupaten Sidoarjo,2025,4870511
Kabupaten Mojokerto,2025,4856026
Kabupaten Gresik,2025,4874133
Kota Malang,2025,3507693
Kota Surabaya,2025,4961753
Kabupaten Tangerang,2025,4901117
Kabupaten Serang,2025,4857353
Kota Tangerang,2025,5069708
Kota Cilegon,2025,5128084
Kota Serang,2025,4418261
Kota Tangerang Selatan,2025,4974391
Kabupaten Badung,2025,3534339
Kabupaten Kotawaringin Barat,2025,3700659
Kabupaten Kotawaringin Timur,2025,3559113
Kabupaten Barito Selatan,2025,3829098
Kabupaten Barito Utara,2025,3900362
Kabupaten Sukamara,2025,3716340
Kabupaten Lamandau,2025,3781317
Kabupaten Seruyan,2025,3870690
Kabupaten Katingan,2025,3561259
Kabupaten Gunung Mas,2025,3544506
Kabupaten Murung Raya,2025,3793932
Kota Palangka Raya,2025,3525154
Kabupaten Kota Baru,2025,3643004
Kabupaten Tabalong,2025,3592197
Kabupaten Tanah Bumbu,2025,3500163
Kota Banjarmasin,2025,3599182
Kabupaten Mahakam Ulu,2025,3952234
Kabupaten Paser,2025,3591566
Kabupaten Kutai Barat,2025,3952234
Kabupaten Kutai Kartanegara,2025,3766379
Kabupaten Kutai Timur,2025,3743820
Kabupaten Berau,2025,4081396
Kabupaten Penajam Paser Utara,2025,3957346
Kota Balikpapan,2025,3701509
Kota Samarinda,2025,3724437
Kota Bontang,2025,3780013
Kabupaten Malinau,2025,3841561
Kabupaten Bulungan,2025,3706868
Kabupaten Tana Tidung,2025,3702905
Kabupaten Nunukan,2025,3652907
Kota Tarakan,2025,4460405
Kabupaten Bolaang Mongondow,2025,3775425
Kabupaten Minahasa,2025,3775425
Kabupaten Kepulauan Sangihe,2025,3775425
Kabupaten Kepulauan Talaud,2025,3775425
Kabupaten Minahasa Selatan,2025,3775425
Kabupaten Minahasa Utara,2025,3775425
Kabupaten Bolaang Mongondow Utara,2025,3775425
Kabupaten Siau Tagulandang Biaro,2025,3775425
Kabupaten Minahasa Tenggara,2025,3775425
Kabupaten Bolaang Mongondow Selatan,2025,3775425
Kabupaten Bolaang Mongondow Timur,2025,3775425
Kota Bitung,2025,3775425
Kota Tomohon,2025,3775425
Kota Kotamobagu,2025,3775425
Kota Manado,2025,3824264
Kabupaten Morowali,2025,3716125
Kabupaten Morowali Utara,2025,3925456
Kabupaten Kepulauan Selayar,2025,3657527
Kabupaten Bulukumba,2025,3657527
Kabupaten Bantaeng,2025,3657527
Kabupaten Jeneponto,2025,3657527
Kabupaten Takalar,2025,3657527
Kabupaten Gowa,2025,3657527
Kabupaten Sinjai,2025,3657527
Kabupaten Maros,2025,3657527
Kabupaten Barru,2025,3657527
Kabupaten Bone,2025,3657527
Kabupaten Soppeng,2025,3657527
Kabupaten Wajo,2025,3657527
Kabupaten Sidenreng Rappang,2025,3657527
Kabupaten Pinrang,2025,3657527
Kabupaten Enrekang,2025,3657527
Kabupaten Luwu,2025,3657527
Kabupaten Tana Toraja,2025,3657527
Kabupaten Luwu Utara,2025,3657527
Kabupaten Toraja Utara,2025,3657527
Kota Parepare,2025,3657527
Kota Palopo,2025,3657527
Kabupaten Pangkajene dan Kepulauan,2025,3747233
Kabupaten Luwu Timur,2025,3761112
Kota Makassar,2025,3880137
Kabupaten Fakfak,2025,3615000
Kabupaten Kaimana,2025,3615000
Kabupaten Teluk Wondama,2025,3615000
Kabupaten Teluk Bintuni,2025,3615000
Kabupaten Manokwari,2025,3615000
Kabupaten Manokwari Selatan,2025,3615000
Kabupaten Pegunungan Arfak,2025,3615000
Kabupaten Jayapura,2025,4285850
Kabupaten Kepulauan Yapen,2025,4285850
Kabupaten Biak Numfor,2025,4285850
Kabupaten Sarmi,2025,4285850
Kabupaten Keerom,2025,4285850
Kabupaten Waropen,2025,4285850
Kabupaten Supiori,2025,4285850
Kabupaten Mamberamo Raya,2025,4285850
Kota Jayapura,2025,4285850
Kabupaten Nabire,2025,4285850
Kabupaten Paniai,2025,4285850
Kabupaten Puncak Jaya,2025,4285850
Kabupaten Puncak,2025,4285850
Kabupaten Dogiyai,2025,4285850
Kabupaten Intan Jaya,2025,4285850
Kabupaten Deiyai,2025,4285850
Kabupaten Mimika,2025,5005678
Kabupaten Jayawijaya,2025,4285850
Kabupaten Yahukimo,2025,4285850
Kabupaten Pegunungan Bintang,2025,4285850
Kabupaten Tolikara,2025,4285850
Kabupaten Nduga,2025,4285850
Kabupaten Lanny Jaya,2025,4285850
Kabupaten Mamberamo Tengah,2025,4285850
Kabupaten Yalimo,2025,4285850
Kabupaten Merauke,2025,4285850
Kabupaten Asmat,2025,4285850
Kabupaten Boven Digoel,2025,4285850
Kabupaten Mappi,2025,4285850
Kabupaten Sorong Selatan,2025,3614000
Kabupaten Sorong,2025,3614000
Kabupaten Raja Ampat,2025,3614000
Kabupaten Tambrauw,2025,3614000
Kabupaten Maybrat,2025,3614000
Kota Sorong,2025,3614000
Kabupaten Pandeglang,2025,3206703
Kabupaten Lebak,2025,3227419
Kabupaten Jembrana,2025,2984592
Kabupaten Tabanan,2025,3113451
Kabupaten Gianyar,2025,3220507
Kabupaten Klungkung,2025,2995770
Kabupaten Karangasem,2025,2995771
Kabupaten Buleleng,2025,2995559
Kota Denpasar,2025,3298116
Kota Mataram,2025,2935393
Kabupaten Lombok Barat,2025,2655506
Kabupaten Lombok Tengah,2025,2655506
Kabupaten Lombok Timur,2025,2655506
Kabupaten Poso,2025,3164160
Kabupaten Donggala,2025,3164160
Kabupaten Tolitoli,2025,3164160
Kabupaten Banggai,2025,3312059
Kabupaten Buol,2025,3164160
Kabupaten Banggai Kepulauan,2025,3164160
Kabupaten Tojo Una-Una,2025,3164160
Kabupaten Sigi,2025,3164160
Kabupaten Banggai Laut,2025,3164160
Kota Palu,2025,3386589
Kota Kendari,2025,3376769
Kabupaten Konawe,2025,3206207
Kabupaten Kolaka,2025,3304172
Kabupaten Konawe Selatan,2025,3162879
Kabupaten Kolaka Utara,2025,3385289
Kabupaten Muna,2025,3058612
Kabupaten Gorontalo,2025,3221732
Kabupaten Bone Bolango,2025,3221732
Kabupaten Pasangkayu,2025,3220902
Kabupaten Mamuju,2025,3104475
Kabupaten Mamuju Tengah,2025,3137490
Kota Ambon,2025,3136848
Kabupaten Maluku Tengah,2025,3078266
Kabupaten Seram Bagian Barat,2025,3078266
Kota Ternate,2025,3278773
Kabupaten Halmahera Barat,2025,3170207
Kabupaten Halmahera Tengah,2025,3405530
Kabupaten Halmahera Utara,2025,3254920
Kabupaten Halmahera Selatan,2025,3170207
Kabupaten Halmahera Timur,2025,3170207
Kabupaten Kepulauan Sula,2025,3170207
Kabupaten Pulau Taliabu,2025,3170207
Kota Tidore Kepulauan,2025,3170207
Kabupaten Pulau Morotai,2025,3170207
