cityName,year,amount
Kabupaten Simeulue,2025,3685616
Kabupaten Aceh Singkil,2025,3685616
Kabupaten Aceh Selatan,2025,3685616
Kabupaten Aceh Tenggara,2025,3685616
Kabupaten Aceh Timur,2025,3685616
Kabupaten Aceh Tengah,2025,3685616
Kabupaten Aceh Barat,2025,3685616
Kabupaten Aceh Besar,2025,3685616
Kabupaten Pidie,2025,3685616
Kabupaten Bireuen,2025,3685616
Kabupaten Aceh Utara,2025,3685616
Kabupaten Aceh Barat Daya,2025,3685616
Kabupaten Gayo Lues,2025,3685616
Kabupaten Nagan Raya,2025,3685616
Kabupaten Aceh Jaya,2025,3685616
Kabupaten Bener Meriah,2025,3685616
Kabupaten Pidie Jaya,2025,3685616
Kota Sabang,2025,3685616
Kota Langsa,2025,3685616
Kota Lhokseumawe,2025,3685616
Kota Subulussalam,2025,3685616
Kabupaten Aceh Tamiang,2025,3717948
Kota Banda Aceh,2025,3898856
Kabupaten Karo,2025,3577282
Kabupaten Deli Serdang,2025,3732906
Kabupaten Batu Bara,2025,3676000
Kota Medan,2025,4014072
Kabupaten Indragiri Hilir,2025,3508776
Kabupaten Kepulauan Meranti,2025,3508776
Kabupaten Kuantan Singingi,2025,3692797
Kabupaten Indragiri Hulu,2025,3703206
Kabupaten Pelalawan,2025,3616057
Kabupaten Siak,2025,3691216
Kabupaten Kampar,2025,3634594
Kabupaten Rokan Hulu,2025,3579381
Kabupaten Bengkalis,2025,3933620
Kabupaten Rokan Hilir,2025,3548818
Kota Pekanbaru,2025,3675938
Kota Dumai,2025,4118670
Kota Jambi,2025,3607223
Kabupaten Ogan Komering Ulu,2025,3681571
Kabupaten Ogan Komering Ilir,2025,3681571
Kabupaten Lahat,2025,3681571
Kabupaten Ogan Komering Ulu Selatan,2025,3681571
Kabupaten Ogan Ilir,2025,3681571
Kabupaten Empat Lawang,2025,3681571
Kabupaten Penukal Abab Lematang Ilir,2025,3681571
Kota Prabumulih,2025,3681571
Kota Pagar Alam,2025,3681571
