cityName,year,amount
Kabupaten Maros,2023,3393636
Kabupaten Barru,2023,3393636
Kabupaten Bone,2023,3385211
Kabupaten Soppeng,2023,3385211
Kabupaten Wajo,2023,3385211
Kabupaten Sidenreng Rappang,2023,3393636
Kabupaten Pinrang,2023,3393636
Kabupaten Enrekang,2023,3393636
Kabupaten Luwu,2023,3393636
Kabupaten Tana Toraja,2023,3393636
Kabupaten Luwu Utara,2023,3393636
Kabupaten Toraja Utara,2023,3393636
Kota Parepare,2023,3393636
Kota Palopo,2023,3393636
Kabupaten Pangkajene dan Kepulauan,2023,3468238
Kabupaten Luwu Timur,2023,3563525
Kota Makassar,2023,3591247
Kabupaten Fakfak,2023,3407377
Kabupaten Kaimana,2023,3609726
Kabupaten Teluk Wondama,2023,3342074
Kabupaten Teluk Bintuni,2023,3795967
Kabupaten Manokwari,2023,3342074
Kabupaten Manokwari Selatan,2023,3342074
Kabupaten Pegunungan Arfak,2023,3342074
Kabupaten Jayapura,2023,4024272
Kabupaten Kepulauan Yapen,2023,3987000
Kabupaten Biak Numfor,2023,4024270
Kabupaten Sarmi,2023,3987000
Kabupaten Keerom,2023,3987000
Kabupaten Waropen,2023,3987000
Kabupaten Supiori,2023,4024270
Kabupaten Mamberamo Raya,2023,3987000
Kota Jayapura,2023,4024270
Kabupaten Nabire,2023,3901459
Kabupaten Paniai,2023,3901459
Kabupaten Puncak Jaya,2023,3901459
Kabupaten Puncak,2023,3901459
Kabupaten Dogiyai,2023,3901459
Kabupaten Intan Jaya,2023,3901459
Kabupaten Deiyai,2023,3901459
Kabupaten Mimika,2023,4520328
Kabupaten Jayawijaya,2023,3864696
Kabupaten Yahukimo,2023,3864696
Kabupaten Pegunungan Bintang,2023,3864696
Kabupaten Tolikara,2023,3864696
Kabupaten Nduga,2023,3864696
Kabupaten Lanny Jaya,2023,3864696
Kabupaten Mamberamo Tengah,2023,3864696
Kabupaten Yalimo,2023,3864696
Kabupaten Merauke,2023,4024270
Kabupaten Asmat,2023,4024270
Kabupaten Boven Digoel,2023,4024270
Kabupaten Mappi,2023,4024270
Kabupaten Sorong Selatan,2023,3342074
Kabupaten Sorong,2023,3342074
Kabupaten Raja Ampat,2023,3342074
Kabupaten Tambrauw,2023,3342074
Kabupaten Maybrat,2023,3342074
Kota Sorong,2023,3375929
Kabupaten Pandeglang,2023,2937549
Kabupaten Lebak,2023,2956526
Kabupaten Jembrana,2023,2702963
Kabupaten Tabanan,2023,2819664
Kabupaten Gianyar,2023,2916618
Kabupaten Klungkung,2023,2713087
Kabupaten Karangasem,2023,2713088
Kabupaten Buleleng,2023,2712896
Kota Denpasar,2023,2986903
Kota Mataram,2023,2674400
Kabupaten Lombok Barat,2023,2419398
Kabupaten Lombok Tengah,2023,2419398
Kabupaten Lombok Timur,2023,2419398
Kabupaten Poso,2023,2822038
Kabupaten Donggala,2023,2822038
Kabupaten Tolitoli,2023,2822038
Kabupaten Banggai,2023,2953945
Kabupaten Buol,2023,2822038
Kabupaten Banggai Kepulauan,2023,2822038
Kabupaten Tojo Una-Una,2023,2822038
Kabupaten Sigi,2023,2822038
Kabupaten Banggai Laut,2023,2822038
Kota Palu,2023,3020416
Kota Kendari,2023,3031238
Kabupaten Konawe,2023,2878129
Kabupaten Kolaka,2023,2966068
Kabupaten Konawe Selatan,2023,2839234
Kabupaten Kolaka Utara,2023,3038886
Kabupaten Muna,2023,2745636
Kabupaten Gorontalo,2023,2989524
Kabupaten Bone Bolango,2023,2989524
Kabupaten Pasangkayu,2023,2979626
Kabupaten Mamuju,2023,2871921
Kabupaten Mamuju Tengah,2023,2902463
Kota Ambon,2023,2945397
Kabupaten Maluku Tengah,2023,2890390
Kabupaten Seram Bagian Barat,2023,2890390
Kota Ternate,2023,2863869
Kabupaten Halmahera Barat,2023,2769041
Kabupaten Halmahera Tengah,2023,2974586
Kabupaten Halmahera Utara,2023,2843034
Kabupaten Halmahera Selatan,2023,2769041
Kabupaten Halmahera Timur,2023,2769041
Kabupaten Kepulauan Sula,2023,2769041
Kabupaten Pulau Taliabu,2023,2769041
Kota Tidore Kepulauan,2023,2769041
Kabupaten Pulau Morotai,2023,2769041
